lat,lon,alt,dop,speed
65.996052,19.369924,348.84,1.53,0.034
65.996144,19.369796,372.17,4.44,1.328
65.996087,19.369946,356.561,2.4,0.581
65.996058,19.370034,378.0,2.05,0.403
65.99607,19.369931,359.269,2.64,0.02
65.996034,19.369646,351.136,2.32,0.79
65.996135,19.369895,362.234,2.43,0.505
65.995769,19.370405,351.526,2.46,1.216
65.995615,19.370819,350.081,2.11,0.035
65.995671,19.370757,344.74,10.17,0.636
65.995766,19.370804,360.623,3.1,0.194
65.995528,19.371053,340.475,7.56,0.008
65.995515,19.371195,350.034,3.07,0.028
65.995447,19.371401,334.315,4.93,0.147
65.995403,19.371368,328.024,4.58,0.622
65.995265,19.370504,342.1,6.02,0.208
65.995347,19.3715,361.32,3.11,0.056
65.995253,19.371399,343.991,2.37,0.054
65.99526,19.371206,378.759,2.07,0.593
65.995396,19.371357,335.263,4.89,0.283
65.995234,19.371147,380.049,5.28,0.022
65.995193,19.371392,363.185,5.86,0.237
65.995356,19.371384,359.095,3.84,0.029
65.995425,19.371385,353.626,2.91,0.011
65.995426,19.371437,344.991,2.91,0.033
65.995416,19.371383,340.961,5.68,5.963
65.995368,19.371428,346.853,2.67,0.019
65.995379,19.371363,350.471,2.65,0.008
65.995375,19.37146,342.39,3.62,0.032
65.995303,19.371352,360.111,3.42,0.059
65.995437,19.37128,340.608,2.99,0.329
65.995383,19.371353,352.864,2.3,0.395
65.995319,19.371433,348.283,4.09,0.027
65.995408,19.371539,368.531,3.41,0.011
65.995306,19.37122,350.563,3.66,0.184
65.995504,19.371074,350.56,2.59,0.036
65.995398,19.371246,342.977,4.03,0.095
65.995393,19.371285,341.706,2.79,0.301
65.995018,19.371731,341.526,4.69,0.137
65.995094,19.371984,366.433,6.32,2.451
65.995246,19.37165,347.16,13.26,0.066
65.995406,19.371409,354.328,14.39,0.125
65.995359,19.371489,353.443,1.67,0.019
65.995198,19.371491,326.608,7.72,0.048
65.995315,19.371479,353.256,2.54,0.225
65.995329,19.37155,350.117,3.43,0.012
65.99529,19.371665,348.224,3.88,0.39
65.995085,19.371681,342.938,6.19,0.452
65.995061,19.371662,331.758,16.4,0.026
65.995119,19.371775,352.016,7.31,0.039
65.995373,19.371411,358.425,5.5,0.017
66.001651,19.367522,357.473,4.87,0.505
66.005159,19.387811,426.66,4.61,0.949
66.007165,19.385913,360.414,12.09,0.278
66.007253,19.385712,390.306,2.45,0.067
66.007244,19.386015,357.636,2.79,0.006
66.005283,19.388271,348.671,3.01,0.642
66.001827,19.368103,341.826,3.16,0.844
65.995438,19.373127,352.389,6.42,0.184
65.995066,19.373784,351.643,2.49,0.454
65.994803,19.374086,352.112,2.22,0.025
65.994274,19.373972,336.426,4.81,0.084
65.994766,19.373665,353.466,2.96,0.684
65.995154,19.373848,353.128,5.63,0.018
65.995659,19.374847,348.919,17.59,0.368
65.996066,19.375354,349.012,2.81,0.376
65.996217,19.375332,367.53,2.65,1.24
65.996037,19.375227,355.465,3.44,0.259
65.995775,19.375201,339.707,4.47,2.942
65.995959,19.375332,383.78,6.09,2.233
65.996061,19.375362,403.71,5.54,0.446
65.995954,19.37512,356.529,7.61,0.119
65.995905,19.375197,360.952,4.37,0.755
65.995904,19.375235,377.174,4.4,0.021
65.995919,19.375325,372.548,8.5,0.041
65.996016,19.375157,355.944,1.95,0.018
65.996041,19.375132,377.468,4.0,0.877
65.996074,19.375352,375.011,4.0,2.855
65.995981,19.375208,348.392,5.38,0.056
65.99584,19.375414,359.696,3.18,1.409
65.995992,19.375386,353.101,2.3,2.024
65.996039,19.375177,354.325,2.36,0.197
65.995969,19.375173,356.03,4.99,0.223
65.995907,19.375319,357.494,3.15,0.018
65.995822,19.375268,350.221,2.78,0.09
65.995886,19.375126,350.423,3.27,1.275
65.996023,19.374975,347.041,2.56,0.026
65.995896,19.375121,349.231,6.42,0.154
65.996215,19.374561,361.552,7.79,0.247
65.996065,19.374517,352.29,5.22,0.141
65.996163,19.374738,347.501,4.15,0.104
65.996081,19.374614,351.861,2.24,0.019
65.996058,19.374599,361.589,3.36,0.18
65.996077,19.374629,349.473,4.86,0.122
65.996017,19.374766,346.54,3.3,0.029
65.996081,19.374559,378.733,2.37,0.15
65.995981,19.374719,345.78,5.58,0.08
65.996126,19.374457,357.593,2.27,0.313
65.996071,19.374789,332.223,3.94,0.564
65.996037,19.374652,345.631,2.78,0.022
65.995982,19.374605,330.411,3.92,0.161
65.996163,19.374505,360.262,3.01,0.725
65.996018,19.374673,345.062,2.47,0.045
65.99605,19.374666,354.446,2.14,0.072
65.996068,19.374734,366.051,8.0,0.051
65.996005,19.37441,341.183,5.0,0.159
65.996142,19.374587,357.682,3.94,0.619
65.996047,19.374601,351.607,2.54,0.019
65.996063,19.374682,347.718,2.59,0.319
65.995979,19.374147,358.01,2.14,0.446
65.995737,19.373982,360.949,3.19,0.565
65.995617,19.373348,372.953,2.8,0.737
65.995606,19.372988,351.503,2.8,0.025
65.995604,19.373258,348.363,2.28,0.541
65.995922,19.373173,356.788,1.86,0.044
65.99596,19.373808,355.199,8.39,0.017
65.995368,19.373067,332.485,5.04,0.274
65.995298,19.373246,347.735,3.39,0.074
65.995635,19.372883,341.187,5.82,0.057
65.995364,19.373165,359.69,6.63,0.006
65.995374,19.373081,388.619,6.1,0.244
65.99537,19.373142,362.026,6.11,0.771
65.995427,19.37315,367.688,6.32,0.107
65.995403,19.373346,340.311,6.54,0.426
65.995339,19.373241,350.744,3.4,0.752
65.995263,19.373145,349.179,2.89,0.563
65.994867,19.372702,339.149,3.6,0.26
65.995394,19.372838,356.851,13.15,0.035
65.995239,19.372877,344.865,2.55,0.04
65.995203,19.373016,340.617,3.12,0.327
65.995163,19.372929,341.164,2.36,0.017
65.99521,19.372956,346.609,4.42,0.092
65.995288,19.372858,349.051,2.97,0.372
65.995353,19.372957,368.187,5.29,1.064
65.995233,19.372776,337.385,3.93,0.21
65.995232,19.372224,362.23,3.27,0.168
65.99513,19.37052,362.234,1.67,0.192
65.995312,19.370084,345.525,3.13,0.048
65.996662,19.366223,344.772,3.71,0.034
65.996736,19.366419,314.191,3.74,0.706
65.996697,19.366381,349.256,3.79,0.964
65.996604,19.365969,347.847,3.71,0.987
65.996481,19.365832,363.643,3.49,0.721
65.996687,19.365672,359.666,13.38,0.049
65.996625,19.365716,363.583,6.72,0.013
65.996687,19.365723,342.868,5.71,0.112
65.996642,19.366166,356.925,21.97,0.056
65.996631,19.365812,343.889,6.38,0.087
65.996613,19.365704,343.37,4.4,0.216
65.996847,19.365654,374.983,13.42,0.019
65.996707,19.365755,380.436,10.66,0.139
65.996662,19.365826,376.347,4.33,0.062
65.996643,19.365681,349.784,1.52,0.001
